dialog_id,meme_id,text,actor_id
043e9e0d-3cf8-4b5a-a1be-d133f4a9da5e,6efe3674-1794-44a8-a663-07d0136d7f47,kanti chuputho champestha rey jagratha,6188e288-1205-4110-b2e7-67adffa2f2dc
0447e594-a7d8-4103-ad20-f87fa8e99a34,19b7eda6-ecc3-43b0-92a8-9b1578992e4c,"eey evaru adhi ",aa9cde85-308c-4b23-871e-4c3482ec58e6
044c6a68-a391-4b48-bdf3-8208e83cf1ec,e279ea38-ffaa-4b90-a9e1-928018cbe665,"Me: Neeku pelli ayyindha raa,",df8d1267-da72-4a96-b250-8a1ed48191ce
0460d5bb-1e4c-4e18-a95a-2e6c4f1ec5ec,e8c96297-e5b3-47d4-b487-bd6b8cd3dc70,Me meating my frnd after a long time: entra raa mowa intha style ga thayyarayyav,e97b8ead-4dca-47f3-bb2e-cfa610c0966d
046bcd1d-8de7-496e-a837-a5b1bb2f4438,393ca793-6c00-45d8-a6eb-f4c676828534,"My teammate: Adhi chatgpt lo nunche lepesav ani naaku telusu ",dca01a7f-b202-4bef-9f1e-7f5a1d2893b2
0472f781-6b0f-4e16-acb1-9c41e24569ef,d4ba7373-78eb-4d49-b200-b92064261f5a,Me: Mummy idhigo naa progress report,d038c05a-1078-4677-a17e-40c7812b0c05
048466c0-b2d9-4e54-b5f0-d6746a666f4c,152ea7a6-c6cd-42ce-bfd2-41db7f4db78e,Nuvvu asalu manishivenaa raa,719a31ec-ccc5-470d-8de7-85c9e2f4fb4a
0485700e-7cdf-4af2-85fc-6be8fc9532c2,137b5a71-e7f7-4a67-b3a6-256499a1d999,"Me: Please mummy aah bomma konivvu mummy ",d172e721-96e5-49f8-a134-c6519755c819
0489a98d-2079-4c0b-9b1f-601ba30bb2a8,5301e129-31ba-4b79-a3c6-eb6877a26488,vadi sangathi chuddam pada ra,f18b9515-5058-45e8-bfa1-8d16d304bf17
04a3356e-9140-4f17-8d2f-bf0e8fa727fc,823d5bfe-05a8-4d2b-b55a-7ebfcce987c9,"cheppaniki asalu em ledu anna ",6281c56a-f431-4340-b67b-e21d814fe043
04a49456-7f3c-4d98-babf-5c7aee8dc817,092c8b6c-c242-40d5-91d4-2c27c3d8e0aa,Mom: Chusara andi mana vaadu,20fd7708-a7f5-4b7a-a61a-ec8be9062a34
04ae9282-30a4-4ab6-adbe-849b052d464f,9bc54216-eabb-4484-8fe5-053839896ead,Me explaining my Dad:Naaku ennii backlogs unnayo telsa,0a2cec25-1283-416c-a5cd-5e3f82a2f762
04b691f8-1134-437a-9c17-b6fba0a5c12f,63f2d2ce-1609-4e0b-9da2-4b13ef404702,"Mu frnd after I stopped drinking ",296ec77f-a9e4-4573-a16f-01a52d651113
04bd8540-842a-4ae6-adde-f63c54f8ad75,dd0a99b4-fc4b-4d05-99bf-efbdc065b605,Me: Naaku government job undhi unclee!,d038c05a-1078-4677-a17e-40c7812b0c05
04cbf2f9-fea8-4a16-b8f7-47b2005784f7,826f941f-70d2-4853-acb4-c8d4b122013a,"That guy: Panodu kaadhu, call me as CR!",32d597e9-20ee-4727-a308-97fd9fa647bb
04dbee09-9c9e-4cec-8cf3-7a56ebc14b8c,3d8f95fe-51da-4ec7-a409-36e3d9577b91,i avoid,7349d710-4fbf-499e-9bbf-eec3f07b600a
04dcc790-3a28-457b-b722-dc7b2ea478cc,1803eaf0-db0b-4be8-a1a6-4f49a54b7eac,"varsham agipoyindhi, inkekeda vastaru",1a76b457-2c29-45ff-8631-2f93e20daa24
04ec419d-7615-4b61-8ed8-efe0adf45877,ef2606e6-d23c-451a-91c5-ad38e126ef07,"Em baavagaaru, Pillala dhagara kooda mee following baaga perigipoyindhi!",00a6426e-ea41-4d26-bc2d-d4fddd465ca5
04ee5c02-fdf1-4a25-b0d3-b04cda9b1156,6e9a766a-0a96-4a52-85de-b6a179909bd8,Kottinchukoni navvutav entra rose puvvu,94da4dfe-0436-408a-a7d3-07902ea5e45e
04ff2334-12b0-4a28-b837-2f7d7a0d7859,984e9e3a-a520-4f5c-9142-89f1a3ff77c9,"My friend: All indians are my brothers and sisters  ",21e3558f-4185-4055-bbe0-a8929a850120
05017cc2-1ccc-418c-a193-ecaed370ed79,587b33f7-2df1-4d2e-99b8-63a5039cd736,Vaadu Poyi madhyalo inkodu vacchi join avuthaadu,32d597e9-20ee-4727-a308-97fd9fa647bb
0503b97f-a07a-4051-85fb-d23e707b96f6,8d9874e5-c9a8-4853-8a2b-8141cdf7cc5b,Me after trying pancha for the first time,b82b1aed-7f06-4855-878d-4e379707972b
051e0119-4d9f-4807-a742-7375a94391a2,fb1eae62-5017-40b7-9e64-499a4c64197f,My friend after spending all the salary in 10th of Month,32d597e9-20ee-4727-a308-97fd9fa647bb
05216ae3-e5c3-4121-afc2-218016a9ec33,c309b675-f646-4f59-934f-950590a01593,"Maths teacher: Nenu chinnappudu anni subjects lo topper, Andhukey Ippudu Meeku baaga class chepthunna ",32d597e9-20ee-4727-a308-97fd9fa647bb
0524a7a5-837d-494c-afed-13ae478daa88,75c07a9b-0ec2-43ba-99b3-1bb1c8f81ec3,me: anti poyada..,87773893-19c4-4dd5-89bf-e0bcbba567eb
052a87e4-35a6-46a0-b585-49b6e8ac6626,d0e38b14-f4ab-48d4-ba02-396c6ca5dcb0,My friend: Choosuko Vaadey topper inka,80406365-5e76-4ef2-add1-8458784d8b30
0531ddc3-fb46-49d6-beac-67f891c47a9b,ae4d5d15-c721-4d87-8c26-b8539f71b7a4,dani batterylu teseste alane undidhi,df8d1267-da72-4a96-b250-8a1ed48191ce
053bad2d-ccab-45cf-ae83-621044ff43f0,e9aeed35-05ba-41b5-8173-d33b6dce2bbe,"Relatives: Idhi chaaladhu, Nuvvu edagalante, starting ey 10LPA Job Tecchukovaali",d96d7c3a-695a-441f-bbaf-d78c6e8dbed4
05406343-8f9b-4592-ab2e-3a655ce3f14b,5ae8b6d1-2b26-4c14-9c03-9f038c631901,"mi clg lo chadive students sir ",19d63a25-9527-4e42-96f3-307552351dd0
0559087f-df1f-4005-af6c-d2e5f7acfe1d,bde96fa3-951f-4be8-b4a7-b482a7c17332,Me: Worst gaa unnayii!!,426f2da1-4b7f-4142-8cd4-473aaffeb154
0560aeb9-b9b3-4930-8201-b30034699607,75fdbcd9-5960-41e8-88e6-60689c7dfc26,me: feeling happy inside,21f7dc0d-c92f-4d40-8c11-efbf9a160e17
05641b7f-8aab-4efe-9578-031e01ff90c0,31f35f24-1746-457b-a7c9-e719dfe2c239,"Poddhunney, Bewarse gaallu ekkuva ayipoyaaru",32d597e9-20ee-4727-a308-97fd9fa647bb
0567aa33-e605-4223-8796-e06f1f191518,f584ff0a-1785-4d81-b87d-5fe10f345919,Heroine: Aa police ni kottavanta,a10307c9-e520-4bd8-9e91-e3e6d5d8572f
05700f09-5c24-4fbe-86eb-d9fb893700af,107a84a0-a854-47ba-b651-c34511e5ddba,"idhi nenu appu chesi, vadni chadivistuna ... vadiki chepaku baadhapadathadu",40627b40-2b81-41d8-83d8-66c3a150b77f
0582779c-de10-49e1-98c1-4fab62ba2a25,150cebdc-5e7d-4cd2-94a3-4ae836e19268,Meeru naalagey baaga chaduvuni Teachers avvandi,32d597e9-20ee-4727-a308-97fd9fa647bb
0587e54d-c29f-4e0f-95ae-ff3b176c5a21,307973c7-e2dd-41a7-b1b1-617808417d4e,"Ey rounds vesthaam, Jogging chesi vashunna",32d597e9-20ee-4727-a308-97fd9fa647bb
05899da1-f19f-432a-ad28-addc9d57d2e8,1a641603-7926-4d72-acf2-c9883a948dd2,Me: Mowaa nuvaaa aah gundu entraaa,d038c05a-1078-4677-a17e-40c7812b0c05
05983efb-2d3c-4767-a819-f38417bf6004,6082ebe0-1eae-450f-ace1-6f64605ba59f,Heroine friend: Vaalla muggurini select chesaav kadhey,a1ea50cf-a922-4fc4-995e-19c37680bb85
05c1dd9c-7ae7-466b-838b-bde96c84e099,e2f82ce0-06d0-4f1b-a95e-1c78895ff577,me giving warning to my bgmi friend:,7908d610-3fd6-46e8-af1f-53851af5b003
05c1f46a-8877-4ab3-b086-d269ce3af175,1e78d325-0386-482e-b293-f7265cef82c6,Me feeling my hair after head bath,87773893-19c4-4dd5-89bf-e0bcbba567eb
05d251f1-d3ef-4af8-84a8-0b24c66e86e6,ab6ef084-cfd8-4145-b59e-f857d2acff7f,naa work tho nenu sasthunte idhi okatiii,296ec77f-a9e4-4573-a16f-01a52d651113
05f07f85-eeb0-40c2-9487-138786754d37,8faf2e91-3d4a-41a1-99e0-43a36104f5ca,My near office bayata pan shop,b82b1aed-7f06-4855-878d-4e379707972b
05fa28fd-0822-4019-96af-b7083186efa7,536311e7-cb25-4ba3-8019-31aa4335310d,Police: Entra bike antha fast drive chesthunav?,20fd7708-a7f5-4b7a-a61a-ec8be9062a34
05fa7304-65ad-4782-9599-1a0ba653072f,1fefaf92-0edd-4bb1-8b9f-f47711291558,"My tatha: Naa lekkane puli raa nuvvu ",956a3548-d418-4d12-9a92-4c1cdd6d77df
06013b6f-b420-4041-8218-c698ac929d0e,008506e1-25da-49db-b344-fbe9320c030e,After checking: Meeku maths vaccho raadho test chesaa. Good,eb01c25d-c853-4459-85b7-49ffb9c37504
060bc0c2-5fab-4c12-9dbb-71738cb383e0,6af7f88d-6253-437a-a2e6-0a852239601e,chinna koduku Me: Nenu ranu anna ani cheppu,32d597e9-20ee-4727-a308-97fd9fa647bb
060c80e1-4141-4b4b-aede-d2d9c618eaaf,8d856eeb-46ba-46e6-8006-dec4ad56243a,"Rey, Rey, Rey",32d597e9-20ee-4727-a308-97fd9fa647bb
0618d1b5-2619-4105-82d9-d073f46aa55f,9c49cf76-0da2-4d62-8006-1be428881787,Me: Naa valleee problem ayithe cheppandiraa nennu ellipothaaaa,86c8f880-419a-4f84-9eac-b64a41c7da24
062a622e-2cbf-4639-9fbb-d43cefc312f4,bed76a8f-5af1-43e6-be2c-b980b971313b,Me: Ndhuku inka naa life kooda me jeevinchandi,0a2cec25-1283-416c-a5cd-5e3f82a2f762
06525682-1c7f-4b04-afd2-f29f8b69791f,b431e5e6-b514-4371-b7fc-2178368738f4,me: Neekante mee frnd aee bavundhi,32d597e9-20ee-4727-a308-97fd9fa647bb
065766f5-8832-4488-96a9-95a759206491,01a829c3-5559-4d69-808d-0cff475c5f0c,surya mastu bagunnade aa black shirtlo,eb81040c-c3c6-413f-aa79-e49416d73a66
066bf522-f3fa-4894-8f7f-f2eb188ec307,b5904034-bc95-450a-8830-7d6c937927dd,Dad: Mundu pass avvuu nuvvu!!,b932cd0a-a591-4838-8206-fdf482af828c
067eabb6-3b00-4a11-b9e4-e40c57632379,eef52bff-1064-47d2-9cd4-879820141abb,"chinna poragadu ra ",73353fc5-b7f7-4179-a8b6-354eaeaf428a
069279b0-d97b-4966-a39d-84da37b56d95,e337d5bd-80fb-4aac-b5cb-ce8584eeacc7,me trying to cover why my friend is absent to college,20fd7708-a7f5-4b7a-a61a-ec8be9062a34
069684fb-8590-4d3f-b865-36a7a2ea1d7f,1fbf17f0-05f0-4dcc-bfac-3756da268810,me: adi veru ra,3ab71c5c-35b0-4555-a3ab-d26d0e8b4d56
